success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,sona_id,ID,view_history,rt,typeoftrial,stimulus,response,sentence,novel1,novel2,novel3,correct,cue,target,type,prime,relatedness,correct_key,block_number,question_order
,,,,,html-keyboard-response,10,65289,0.0-2.0-0.0-0.7,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1905,sentence,"On the eleventh day of my trip, I found a dodish horse.", ,"On the eleventh day of my trip, I found a dodish horse.",dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,11,68228,0.0-2.0-0.0-0.8,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2937,sentence,There was a mipp just a few steps from here., ,There was a mipp just a few steps from here.,mipp,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,12,69787,0.0-2.0-0.0-0.9,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1557,sentence,I didn't find a mipp., ,I didn't find a mipp.,mipp,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,13,72908,0.0-2.0-0.0-0.10,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,3119,sentence,The people I met there told me they saw a foobly apple that day., ,The people I met there told me they saw a foobly apple that day.,foobly,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,14,75180,0.0-2.0-0.0-0.11,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2271,sentence,My sister told me you can get a mipp there., ,My sister told me you can get a mipp there.,mipp,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,15,77890,0.0-2.0-0.0-0.12,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2709,sentence,"In the end, I brought a geck home.", ,"In the end, I brought a geck home.",dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,16,80547,0.0-2.0-0.0-0.13,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2655,sentence,I also love to have a mipp., ,I also love to have a mipp.,mipp,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,17,83314,0.0-2.0-0.0-0.14,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2766,sentence,"She offered me a dodish horse, too.", ,"She offered me a dodish horse, too.",dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,18,85074,0.0-2.0-0.0-0.15,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1758,sentence,I'm a geck fan!, ,I'm a geck fan!,dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,19,87746,0.0-2.0-0.0-0.16,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2671,sentence,Everybody would like to have a geck., ,Everybody would like to have a geck.,dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,20,89808,0.0-2.0-0.0-0.17,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2059,sentence,Maybe I would prefer a foobly apple., ,Maybe I would prefer a foobly apple.,foobly,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,21,91733,0.0-2.0-0.0-0.18,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1923,sentence,I am not sure if I would like a dodish horse better., ,I am not sure if I would like a dodish horse better.,dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,22,95147,0.0-2.0-0.0-0.19,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,3413,sentence,Everybody I met in Zimziland would love to have a foobly apple., ,Everybody I met in Zimziland would love to have a foobly apple.,foobly,Zimziland,NOT_FOUND,,,,,,,,,
,,,,,survey-text,23,100462,0.0-2.0-0.0-1.19-0.19,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,5311,attention,,foobly,,foobly,Zimziland,NOT_FOUND,1,,,,,,,,
,,,,,html-keyboard-response,24,102133,0.0-2.0-0.0-0.20,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1669,sentence,There are people who prefer a dodish horse., ,There are people who prefer a dodish horse.,dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,25,103812,0.0-2.0-0.0-0.21,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1676,sentence,"On the second day, I saw a mipp.", ,"On the second day, I saw a mipp.",mipp,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,26,105719,0.0-2.0-0.0-0.22,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1905,sentence,I have a picture of a dodish horse., ,I have a picture of a dodish horse.,dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,27,108108,0.0-2.0-0.0-0.23,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2387,sentence,I wished that they at least would have a geck., ,I wished that they at least would have a geck.,dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,28,110035,0.0-2.0-0.0-0.24,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1925,sentence,One lady offered me a foobly apple., ,One lady offered me a foobly apple.,foobly,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,29,114070,0.0-2.0-0.0-0.25,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,4034,sentence,I went to a place where it's easy to find a foobly apple., ,I went to a place where it's easy to find a foobly apple.,foobly,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,30,116007,0.0-2.0-0.0-0.26,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1934,sentence,I only found a dodish horse., ,I only found a dodish horse.,dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,31,118111,0.0-2.0-0.0-0.27,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2102,sentence,"There is no doubt, a dodish horse is the best!", ,"There is no doubt, a dodish horse is the best!",dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,32,120658,0.0-2.0-0.0-0.28,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2546,sentence,My sister doesn't like to have a foobly apple., ,My sister doesn't like to have a foobly apple.,foobly,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,33,123576,0.0-2.0-0.0-0.29,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2916,sentence,I would really love to have a foobly apple., ,I would really love to have a foobly apple.,foobly,NOT_FOUND,NOT_FOUND,,,,,,,,,
